"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2025","1,107.00","1,107.00","1,107.00","1,107.00","","0.18%"
"03/28/2025","1,105.00","1,105.00","1,105.00","1,105.00","","0.27%"
"03/27/2025","1,102.00","1,102.00","1,102.00","1,102.00","","9.00%"
"03/25/2025","1,011.00","1,011.00","1,011.00","1,011.00","","1.71%"
"03/24/2025","994.00","994.00","994.00","994.00","","12.83%"
"03/06/2025","881.00","881.00","881.00","881.00","","-0.23%"
"03/05/2025","883.00","883.00","883.00","883.00","","-0.11%"
"03/04/2025","884.00","884.00","884.00","884.00","","0.34%"
"03/03/2025","881.00","881.00","881.00","881.00","","-0.45%"
"02/28/2025","885.00","885.00","885.00","885.00","","0.57%"
"02/27/2025","880.00","880.00","880.00","880.00","","-0.23%"
"02/26/2025","882.00","882.00","882.00","882.00","","-0.68%"
"02/25/2025","888.00","888.00","888.00","888.00","","-1.33%"
"02/24/2025","900.00","900.00","900.00","900.00","","-1.21%"
"02/21/2025","911.00","911.00","911.00","911.00","","-0.98%"
"02/20/2025","920.00","920.00","920.00","920.00","","-0.54%"
"02/19/2025","925.00","925.00","925.00","925.00","","0.76%"
"02/18/2025","918.00","918.00","918.00","918.00","","0.66%"
"02/17/2025","912.00","912.00","912.00","912.00","","0.22%"
"02/14/2025","910.00","910.00","910.00","910.00","","1.79%"
"02/13/2025","894.00","894.00","894.00","894.00","","0.45%"
"02/12/2025","890.00","890.00","890.00","890.00","","-0.22%"
"02/11/2025","892.00","892.00","892.00","892.00","","-0.78%"
"02/10/2025","899.00","899.00","899.00","899.00","","-0.44%"
"02/07/2025","903.00","903.00","903.00","903.00","","0.00%"
"02/06/2025","903.00","903.00","903.00","903.00","","0.33%"
"02/05/2025","900.00","900.00","900.00","900.00","","0.22%"
"02/04/2025","898.00","898.00","898.00","898.00","","1.93%"
"02/03/2025","881.00","881.00","881.00","881.00","","0.57%"
"01/31/2025","876.00","876.00","876.00","876.00","","0.92%"
"01/30/2025","868.00","868.00","868.00","868.00","","2.12%"
"01/29/2025","850.00","850.00","850.00","850.00","","0.83%"
"01/28/2025","843.00","843.00","843.00","843.00","","0.36%"
"01/27/2025","840.00","840.00","840.00","840.00","","-0.59%"
"01/24/2025","845.00","845.00","845.00","845.00","","-1.29%"
"01/23/2025","856.00","856.00","856.00","856.00","","-2.95%"
"01/22/2025","882.00","882.00","882.00","882.00","","-2.22%"
